talon_id,shipment,inventory_id,talon_quantity,send_date,order_date,talon_status,receive_date,registration,store_id
1,SH54321,9.0,300,2024-11-14,,recebido,2024-11-15,,
10,SHPT010,10.0,11,2024-11-10,,enviado,2024-11-11,,
14,2222,10.0,500,2024-11-13,,extraviado,2024-11-14,2020,
15,3333,8.0,500,2024-12-06,,recebido,2024-12-07,2020,8.0
19,1111,5.0,500,2024-12-07,,recebido,2024-12-07,2311,5.0
20,5555,5.0,500,2024-12-07,,recebido,2024-12-07,2311,5.0
22,300,5.0,300,2024-12-07,,recebido,2024-12-07,2020,5.0
23,800,5.0,500,2024-12-08,,recebido,2024-12-08,2020,5.0
25,5555,5.0,9000,2024-12-08,,recebido,2024-12-08,2020,5.0
24,1111,5.0,1000,2024-12-08,,recebido,2024-12-08,2020,5.0
3,1111,,200,2024-12-09,,recebido,2024-12-11,2311,7.0
26,800,10.0,800,2024-12-11,,recebido,2024-12-11,2311,10.0
27,800,7.0,200,2024-12-11,,recebido,2024-12-12,2311,7.0
28,3333,3333.0,850,2024-12-12,,recebido,2024-12-12,242424,3333.0
29,555,3333.0,500,2024-12-12,,enviado,,242424,3333.0
30,2222,3333.0,22222,2024-12-12,,enviado,,242424,3333.0
31,1111111,3333.0,111111,2024-12-12,,enviado,,2020,3333.0
32,3333,3333.0,578752,2024-12-12,,enviado,,242424,3333.0
33,52453,3333.0,534534,2024-12-12,,enviado,,242424,3333.0
34,7777,5.0,573376,2024-12-12,,enviado,,2020,5.0
35,7777,5.0,77777,2024-12-12,,enviado,,242424,5.0
36,400,500.0,400,2024-12-12,,enviado,,242424,500.0
38,57587,5.0,57377,2024-12-19,,recebido,2024-12-12,242424,5.0
37,435435,5.0,53737,2024-12-12,,recebido,2024-12-13,2020,5.0
9,222,9.0,45,2024-12-13,,enviado,2024-11-10,,9.0
